RMSE ACC
0.109426 0.903333
0.106694 0.915833
0.108478 0.905
0.103923 0.915
0.112657 0.8925
0.110794 0.905
0.107789 0.905833
0.105992 0.906667
0.102906 0.910833
0.104378 0.915
0.107978 0.9125
0.111203 0.893333
0.106697 0.903333
0.109374 0.894167
0.105685 0.916667
0.109471 0.900833
0.106995 0.8975
0.107165 0.900833
0.110701 0.888333
0.114388 0.891667
0.104558 0.925833
0.109981 0.8875
0.113771 0.893333
0.10838 0.9175
0.104295 0.911667
0.106103 0.9025
0.104138 0.914167
0.108864 0.896667
0.107551 0.893333
0.102288 0.9175
0.0994673 0.920833
0.110958 0.889167
0.107061 0.904167
0.106496 0.901667
0.110106 0.894167
0.105332 0.900833
0.104817 0.910833
0.0995458 0.93
0.102534 0.915
0.10553 0.900833
0.100496 0.915833
0.103514 0.905833
0.0977687 0.941667
0.106783 0.903333
0.103069 0.910833
0.104361 0.9175
0.105054 0.9125
0.0972153 0.929167
0.100337 0.909167
0.101491 0.9125
0.102064 0.914167
0.105002 0.898333
0.0979793 0.9275
0.101161 0.908333
0.10392 0.910833
0.106238 0.9
0.101138 0.919167
0.0962036 0.924167
0.104325 0.909167
0.0948673 0.9225
0.0996754 0.918333
0.100566 0.914167
0.102301 0.915
0.102524 0.910833
0.101215 0.916667
0.101356 0.925833
0.106162 0.906667
0.105987 0.893333
0.100313 0.92
0.102887 0.909167
0.100957 0.910833
0.095613 0.924167
0.0987264 0.910833
0.102388 0.895
0.0993491 0.913333
0.10566 0.905833
0.0981655 0.915
0.0998861 0.905833
0.102959 0.9025
0.101466 0.911667
0.101669 0.900833
0.0992206 0.916667
0.100471 0.901667
0.100837 0.92
0.0967524 0.918333
0.0988383 0.9075
0.0980665 0.916667
0.0931637 0.935833
0.0915808 0.936667
0.0952882 0.914167
0.0976511 0.905833
0.0959976 0.92
0.0897279 0.935833
0.0984088 0.918333
0.0967028 0.924167
0.101534 0.909167
0.0982143 0.923333
0.0976822 0.9275
0.0972574 0.919167
0.100936 0.900833
0.0971744 0.9225
0.101968 0.893333
0.0932669 0.92
0.0914361 0.931667
0.103634 0.895833
0.100393 0.906667
0.0971337 0.913333
0.0924245 0.935
0.103349 0.906667
0.102951 0.890833
0.0970318 0.916667
0.0997578 0.9075
0.0915093 0.920833
0.0993825 0.91
0.0923464 0.921667
0.0949265 0.9225
0.103042 0.889167
0.0966218 0.915833
0.0998054 0.9075
0.095164 0.91
0.0908531 0.930833
0.0947563 0.903333
0.0915547 0.930833
0.0940512 0.9275
0.0988312 0.908333
0.0950185 0.9275
0.100375 0.896667
0.0932418 0.924167
0.0960016 0.913333
0.0983932 0.905
0.0946047 0.920833
0.095228 0.915833
0.0985395 0.916667
0.0923306 0.913333
0.0939814 0.919167
0.0963316 0.918333
0.0933763 0.925833
0.0924505 0.9225
0.0889692 0.934167
0.100324 0.899167
0.0870288 0.934167
0.0973661 0.906667
0.0922495 0.909167
0.0938855 0.926667
0.0933183 0.9275
0.0922693 0.916667
0.0923331 0.925
0.0902095 0.9225
0.0857799 0.928333
0.0923345 0.909167
0.0922082 0.93
0.0917677 0.9175
0.0967069 0.908333
0.0886785 0.933333
0.098157 0.896667
0.0903849 0.923333
0.0941525 0.920833
0.0919217 0.93
0.0938348 0.9025
0.0943497 0.92
0.0937982 0.9275
0.0927259 0.910833
0.0899827 0.925833
